Image,Question,Answer
ca23e2263faef48,What does the dish consist of,consists
ca23e2263faef48,What color are the fettuccine noodles,yellow
ca23e2263faef48,What color are the asparagus spears,green
ca23e2263faef48,Where are the asparagus spears placed,on top of
4a760002afb43b8,What is the color of the base of the dish,white
4a760002afb43b8,Where is the fettuccine located in the dish,located throughout
4a760002afb43b8,What type of meat is scattered on top of the pasta,chicken
4a760002afb43b8,What color are the slightly browned areas on the chicken,asparagus
4a760002afb43b8,What vegetable is distributed across the dish,browned
a23799c6517a1d8,What color are the fettuccine noodles,yellow
a23799c6517a1d8,What type of meat is in the dish,chicken
a23799c6517a1d8,What does the dish feature,features
a23799c6517a1d8,What color is the sauce,beige
a23799c6517a1d8,Where is the finely grated cheese distributed,across the top
5246d452ee6dfcd,What is the color of the salmon,light
5246d452ee6dfcd,Where are the salmon pieces situated,situated
5246d452ee6dfcd,What vegetable is dark green and intermingled with the salmon,spinach
5246d452ee6dfcd,What color is the spinach,green
5246d452ee6dfcd,Where is the spinach located,at the top
28e11171d5ffa68,What color are the mushrooms,dark
28e11171d5ffa68,What color is the spinach,spinach
28e11171d5ffa68,What color are the mushrooms,brownish-purple
28e11171d5ffa68,Where is the spinach located,on top
28e11171d5ffa68,What type of pasta is used in the dish,pasta
aa57db45b971ec7,What color is the chocolate fettuccine,chocolate
aa57db45b971ec7,What color is the whipped chocolate topping,brown
aa57db45b971ec7,What shape is the chocolate fettuccine arranged in,nest-like
aa57db45b971ec7,What color is the ice cream,white
aa57db45b971ec7,Where is the nest of fettuccine positioned,at the bottom
6984b25e292a0a3,What color is the Chicken Piccata,yellow
6984b25e292a0a3,What color are the capers,green
6984b25e292a0a3,What type of meat is the main dish made of,Chicken
6984b25e292a0a3,How are the capers arranged on the plate,scattered
6984b25e292a0a3,How are the lemon slices positioned relative to each other,overlapping
59cd9050332697a,What is the color of the sauce on the fettuccine,creamy
59cd9050332697a,What type of pasta is used in the dish,noodles
59cd9050332697a,What color are the chicken chunks in the dish,brown
59cd9050332697a,What color are the broccoli florets in the dish,green
59cd9050332697a,Where is the fork placed in relation to the fettuccine,on the right
c8c28925405c3d3,What is the texture of the sauce,creamy
c8c28925405c3d3,What type of pasta is in the dish,pasta
c8c28925405c3d3,What color is the fettuccini pasta,yellowish-white
c8c28925405c3d3,Where are the shrimp scattered across,scattered across
c8c28925405c3d3,What type of protein is included in the dish,seafood
1f80ff02feebd5c,What color is the plate,red
1f80ff02feebd5c,What type of noodles are in the dish,noodles
1f80ff02feebd5c,What color are the fettuccini noodles,yellow
1f80ff02feebd5c,What is the texture of the sauce covering the noodles,creamy
1f80ff02feebd5c,What is the color of the plate the dish is served on,on a red plate
91bb72e92eed8a7,What color are the broccoli florets,green
91bb72e92eed8a7,What type of pasta is used in the dish,spinach
91bb72e92eed8a7,What color is the spinach fettuccini,pale
91bb72e92eed8a7,What type of meat is included in the dish,ham
91bb72e92eed8a7,How are the broccoli florets distributed across the top,scattered
8a0c8d9c54b0a54,What is the color of the zucchini slices,white
8a0c8d9c54b0a54,What type of pasta is shown in the image,fettuccini
8a0c8d9c54b0a54,How are the zucchini slices arranged in the pasta,scattered
8a0c8d9c54b0a54,What color are the zucchini slices,green
8a0c8d9c54b0a54,Where are the zucchini slices located in relation to the pasta,among the pasta
1bf5647a7e6331a,What is the color of the Moroccan Fig Pork Roast,golden-brown
1bf5647a7e6331a,Where is the Moroccan Fig Pork Roast in relation to the sauce,submerged
1bf5647a7e6331a,What color are the diced tomatoes,tomatoes
1bf5647a7e6331a,What color are the diced tomatoes,red
1bf5647a7e6331a,Where are some of the diced tomatoes located,on the top
c65fca370548065,What color is the fig resting atop the green lettuce,black
c65fca370548065,What type of fruit is featured in the salad,figs
c65fca370548065,Where is the almost black fig located in the salad,resting atop
c65fca370548065,What color is the lettuce in the salad,green
c65fca370548065,What color are the exteriors of some figs in the upper center of the bowl,purple
29d239450bb6aec,What type of fruit is shown in the dish,figs
29d239450bb6aec,How do the colors of the figs differ,vary
29d239450bb6aec,What is the color of the deeper-toned figs,reddish-brown
29d239450bb6aec,What is the chicken served with,with the chicken
29d239450bb6aec,What color is the rosemary,green
76dc183aa46b064,What type of dessert is shown in the image,cake
76dc183aa46b064,What is the primary color of the cake,brown
76dc183aa46b064,Where does the cake sit,sits on
76dc183aa46b064,What is the shape of the cake,circular
76dc183aa46b064,What fruit is embedded in the cake,fig
3776b3dee09c716,What color is the smoothie,pink
3776b3dee09c716,How is the smoothie decorated,garnished
3776b3dee09c716,What fruit slice is placed alongside the fig,orange
3776b3dee09c716,What fruit is used to garnish the smoothie,fig
3776b3dee09c716,Which glass has a golden straw,on the left
19e96395c0e26fd,What is the primary color of the fig ice cream,white
19e96395c0e26fd,What fruit is embedded in the ice cream,fig
19e96395c0e26fd,What type of dessert is being described,ice cream
19e96395c0e26fd,How are the fig pieces distributed in the ice cream,distributed unevenly
19e96395c0e26fd,Do the colors of the fig pieces vary,vary
614c5dee532b78e,What color are the figs,purple
614c5dee532b78e,What type of fruit is shown in the image,figs
614c5dee532b78e,Where is the goat cheese placed,on top of
614c5dee532b78e,What is the texture of the goat cheese,creamy
614c5dee532b78e,How is the goat cheese distributed,scattered
cbaed45527de406,Are the fig newtons store-bought or homemade,homemade
cbaed45527de406,What type of cookies are shown in the image,fig newtons
cbaed45527de406,What color are the fig newtons,light brown
cbaed45527de406,What is visible between the light brown cookie layers,filling
cbaed45527de406,Where is one fig newton placed in relation to the others,on top
daf34f3c0e2304e,What color is the plate,yellow
daf34f3c0e2304e,What type of fruit is on the plate,figs
daf34f3c0e2304e,What color is the exterior of the figs,golden-brown
daf34f3c0e2304e,What is the color of the dollops on the figs,cream
daf34f3c0e2304e,Where are the figs placed,on a plate
b3a1fe5b2434339,What is the state of the figs in the compote,fresh
b3a1fe5b2434339,What type of fruit is used in the compote,fig
b3a1fe5b2434339,What color are some of the figs,purple
b3a1fe5b2434339,Where is the fig compote placed,over cream cheese
b3a1fe5b2434339,What color is the plate beneath the food items,red
0f4b1f3711ed6aa,Where does the fig compote sit,sits
0f4b1f3711ed6aa,What is the base of the appetizer,cracker
0f4b1f3711ed6aa,What color is the fig compote,dark
0f4b1f3711ed6aa,What color is the cheese or topping,yellow
0f4b1f3711ed6aa,Where is the cheese or topping positioned,on top of
2e598f810f9d06d,What is the color of the cake's base,light
2e598f810f9d06d,What type of food is shown in the image,cake
2e598f810f9d06d,What color are the figs on top of the cake,reddish-purple
2e598f810f9d06d,Where is the whipped cream located,on top
2e598f810f9d06d,What is the color of the whipped cream on the cake,cream
4339a851cb77dd5,What color is the fig jam,reddish-brown
4339a851cb77dd5,Where is the fig jam located,located on top
4339a851cb77dd5,What is the fig jam on top of,toast
4339a851cb77dd5,How is the fig jam spread on the toast,spread
4339a851cb77dd5,How is the fig jam distributed on the toast,evenly
cb7d2715089d107,What color are the figs in the image,brown
cb7d2715089d107,What type of fruit is featured in the preserves,figs
cb7d2715089d107,What color are the lemon slices in the image,yellow
cb7d2715089d107,What are the figs and lemon slices immersed in,with lemon slices
cb7d2715089d107,How do the whole figs appear in the image,plump
9ac99a11f201d7e,What color is the interior of the figs,dark
9ac99a11f201d7e,What type of fruit is shown in the image,figs
9ac99a11f201d7e,What color are the raspberries,red
9ac99a11f201d7e,What are the figs filled with,with almonds
9ac99a11f201d7e,What is revealed when the figs are cut in half,revealing
dd3b5e82f9d9936,What type of alcohol is mentioned in the description,bourbon
dd3b5e82f9d9936,What color is the Bourbon Fig Compote primarily,purple-black
dd3b5e82f9d9936,Where is the Bourbon Fig Compote placed in relation to the brie,piled on top
dd3b5e82f9d9936,What type of cheese is mentioned in the description,brie
dd3b5e82f9d9936,How is the brie prepared,baked
02fe95aa6346349,How is the pastry presented in the image,sliced
02fe95aa6346349,What color is the filling inside the pastry,brown
02fe95aa6346349,What type of food is shown in the image,pastry
02fe95aa6346349,Where is the fig filling located,inside the pastry crust
02fe95aa6346349,What color is the fig filling,dark
c3f9c24995ba4ec,What color is the filet mignon,brown
c3f9c24995ba4ec,What type of meat is in the center of the image,filet mignon
c3f9c24995ba4ec,Where is the filet mignon located,located in
c3f9c24995ba4ec,What color are the onions on top of the filet mignon,white
c3f9c24995ba4ec,How are the onions arranged around the filet mignon,scattered
5af605e71b6dc10,What color are the Filet Mignon pieces,reddish-brown
5af605e71b6dc10,What type of meat is shown in the image,Filet Mignon
5af605e71b6dc10,What color is the plate,white
5af605e71b6dc10,What is sprinkled on top of the creamy sauce,sprinkled
5af605e71b6dc10,Where are the Filet Mignon pieces placed,on the plate
a31ea68b260d0c2,What color is the interior of the cut filet,pinkish-red
a31ea68b260d0c2,What type of meat is shown in the image,filet
a31ea68b260d0c2,What color is the seared exterior of the filets,brown
a31ea68b260d0c2,Where are the filets placed,on a white plate
a31ea68b260d0c2,How is the exterior of the filets described,seared
334173112185382,What color is the Filet Mignon,brown
334173112185382,What is partially covering the steak,coating
334173112185382,What color is the Bacon Cream Sauce,white
334173112185382,Where are the diced bacon pieces located,scattered atop
334173112185382,What is scattered atop the steak,diced
22de7ebf1595111,What is the color of the filet mignon,rich
22de7ebf1595111,What type of meat is shown in the image,filet mignon
22de7ebf1595111,What color is the filet mignon,brown
22de7ebf1595111,Where is the filet mignon positioned on the plate,in the lower right
22de7ebf1595111,What is the filet mignon served on,plate
83d26cde246750e,What color is the filet mignon,reddish-brown
83d26cde246750e,What type of meat is featured on the plate,filet mignon
83d26cde246750e,What color are the green beans,green
83d26cde246750e,Where is the couscous positioned relative to the filet mignon,alongside
83d26cde246750e,What is the garlic cream sauce doing to the meat and shrimp,coating
4625bbbfbb8de74,What cooking method is used for the filet,grilling
4625bbbfbb8de74,What type of meat is shown in the image,filet
4625bbbfbb8de74,What color is the Merlot sauce,dark red
4625bbbfbb8de74,What color is the outside of the filet after grilling,brown
4625bbbfbb8de74,What herb is placed on top of the filet,rosemary
3e919d5c8a76fb2,What color is the interior of the sliced filet mignon,pinkish-red
3e919d5c8a76fb2,What type of food is the main subject of the image,meat
3e919d5c8a76fb2,What color is the pepper cream sauce,beige
3e919d5c8a76fb2,Where are the individual peppercorns located,scattered around
3e919d5c8a76fb2,What is scattered around the meat pieces,pepper
03f3669d98a7f47,What color is the top surface of the filet mignon,light brown
03f3669d98a7f47,What is the filet mignon made of,meat
03f3669d98a7f47,How are the darker brown seasonings described on the filet mignon,speckled
03f3669d98a7f47,Where is the filet mignon positioned on the plate,on the right side
03f3669d98a7f47,How are the items arranged on the plate,arranged
809aab9977443b9,What color is the Filet Mignon,brown
809aab9977443b9,What type of steak is shown in the image,Filet Mignon
809aab9977443b9,What color are the asparagus spears,green
