Image,Question_2,Answer_2,Question_3,Answer_3,Question_4,Answer_4,Question_5,Answer_5,Question_6,Answer_6
03f3669d98a7f47,What color is the top surface of the filet mignon?,light brown,What is the filet mignon made of?,meat,How are the darker brown seasonings described on the filet mignon?,speckled,Where is the filet mignon positioned on the plate?,on the right side,How are the items arranged on the plate??,arranged
809aab9977443b9,What color is the Filet Mignon?,brown,What type of steak is shown in the image?,Filet Mignon,What color are the asparagus spears?,green,Where are the asparagus spears positioned relative to the Filet Mignon?,behind,How are the potatoes prepared??,roasted
95f4b84d531b5cd,What color is the exterior of the filet mignon?,brown,What type of meat is on the plate?,filet mignon,What covers the top of the filet mignon?,covers,What color are the mushrooms?,red,On which side of the plate is the filet mignon??,on the right side
bfd8bdd402cbe12,What color is the Lover's Beef Burgundy Filet?,reddish-brown,What type of meat is shown in the image?,filet,What is the sauce on top of the filet doing?,covered,Where are the green herbs located?,on top,What is on top of the filet??,herbs
0e176ed65b79336,What color is the crust on top of the mock filet?,brown,What type of meat is shown in the image?,filet,What is the color of the crust on the mock filet?,dark,What is the mock filet wrapped with?,with,What color is the lighter colored substance wrapping the mock filet??,pink
7a3f726289df719,What color is the ground meat in the filling?,light brown,What type of ingredient is the ground meat in the filling?,meat,How are the onions prepared in the filling?,chopped,How are the raisins distributed in the filling?,scattered,Where are the raisins located in the filling??,across the surface
f4c7afcf3684169,What color is the pineapple filling?,creamy,What color are the small flecks in the filling?,yellow,How are the small flecks of orange arranged in the filling?,flecks,Where is the filling located within the jar?,distributed,What is the texture of the pineapple filling??,in texture
196cca600a1000d,What color is the Hungarian Poppy Seed Filling?,dark,What is the Hungarian Poppy Seed Filling contained in?,pot,Where is the wooden spoon in relation to the filling?,submerged,What is the color of the Hungarian Poppy Seed Filling described as?,brownish-black,Where is the pot placed??,on a patterned towel
f454c6fd2e216cf,What is the appearance of the sauerkraut filling?,translucent,What is the main ingredient in the filling?,sauerkraut,What color is the sauerkraut filling?,yellowish-tan,Where are the dough pieces placed?,across a marble surface,What are the circular pieces made of??,dough
7dfc6314022bc13,What color is the almond filling in the cake?,white,What is the dessert in the image?,cake,Where is the almond filling located in the cake?,sandwiched between,What type of nut is used in the filling of the cake?,almond,What does the almond filling contribute to in the dessert??,contributes
8c5d8e730c306a7,What color is the base of the cookies underneath the nut filling?,brown,Where is the nut filling primarily located on the cookies?,located on,How are the nuts arranged on the cookies?,clustered,What gives the nut filling a glossy appearance?,glaze,What is the color of the base of the cookies??,off-white
5e08a59dbf234b5,What color is the bowl?,white,How was the potato filling cooked?,baked,What is the main ingredient in the filling?,potato,What color are the small pieces scattered throughout the filling?,yellow,Where is the potato filling located in the image??,in a bowl
3a4abb8e638724c,What color is the strawberry filling in the jar?,red,Where is the jar in the foreground resting?,resting on,What fruit is visible at the top of the filling?,strawberry,What is visible at the top of the filling in the jar?,visible,What color is the spoon inside the second jar??,golden
c681cb3595c0879,What type of fruit is used in the pie filling?,apple,What color are the apple slices?,yellow-green,What is the texture of the sauce?,viscous,How are the apple slices arranged in the pie crust?,arranged,Where is the filling situated in the image??,in the middle of
0b1164dce90a210,What color is the raspberry filling?,red,How is the raspberry filling applied to the stack?,spreading,What color are the squares in the stack?,golden-brown,What is the shape of the stack?,stack,Where are the heart-shaped pieces placed??,on top of
d85e534339dcdf4,What is the texture of the filling's surface?,glossy,Where does the filling sit?,sits,What is the dark brown layer beneath the filling?,cake,What color is the cake layer?,brown,Where is the filling located in relation to the cake??,on top of
aeb4fa0db89dae5,What color is the exterior of the chicken fingers?,golden-brown,What type of meat is shown in the image?,chicken,What color is the interior of the chicken fingers?,white,Where are the chicken fingers placed?,on a plate,How are the chicken fingers distributed on the plate??,scattered
ea25f18eb234310,What shape are the Halloumi cheese fingers?,rectangular,What type of cheese is shown in the image?,cheese,What color is the lemon wedge in the pan?,yellow,What color are some of the fried Halloumi cheese fingers?,golden-brown,Where is the lemon wedge placed in relation to the Halloumi cheese fingers??,in a pan
8d99540801499b5,What color is the base layer of the dessert?,brown,What is the main flavor of the topping layer?,peanut butter,What part of the dessert is described as having an irregular pattern?,fingers,What is the appearance of the peanut butter topping?,glossy,Where are the peanut butter fingers placed??,in a baking pan
8675b212d96994c,What is the theme of the food displayed on the plate?,spooky,What part of the body do the cookies resemble?,fingers,What color are the Spooky Witches' Fingers?,yellow,What color are the almonds on the cookies?,reddish-brown,Where are the Spooky Witches' Fingers placed??,on the plate
151f1986c6df6da,What color are the alligator fingers?,golden-yellow,What type of meat is shown in the image?,alligator,What color are the sauce cups?,orange,Where are the alligator fingers located in relation to the sauce cups?,next to,How are some of the alligator fingers arranged??,clustered
316a25ac7214253,What color are the breaded chicken fingers?,golden-brown,What type of meat is shown in the image?,chicken,What color is the plate the chicken is served on?,white,How are the chicken fingers placed on the plate?,arranged,Where is the plate located in the image??,on a plate
19110340eed274c,How would you describe the texture of the chicken fingers?,crispy,What type of food is mostly orange with darker spots?,chicken fingers,Are there any parts of the chicken fingers that look overcooked?,burnt,How are the chicken fingers arranged on the plate?,stacked,Where are the chicken fingers located on the plate??,on the bottom right
14594564599eac5,What color are the chicken fingers?,golden-brown,What type of meat is shown in the image?,chicken,What color is the plate?,white,Are the chicken fingers arranged in a way that some are on top of others?,overlapping,Where are the chicken fingers placed??,on a white plate
d511d70b656e110,What color are the Madeira Fingers?,beige,What is the shape of some of the Madeira Fingers?,Fingers,What is placed to the lower left of the Madeira Fingers?,teacup,Where are the Madeira Fingers placed?,on a saucer,How are some of the Madeira Fingers arranged??,stacked
9f1ee5545a6d207,What color are the lady fingers?,beige,What type of food is shown in the image?,lady fingers,Where are the lady fingers placed?,baking sheet,What is the texture of the lady fingers?,rough,Where are the lady fingers arranged??,on a baking sheet
fab3dce9bce0517,What color are the fish fillets?,white,What type of food is shown in the image?,fish,What color are the lemon wedges?,yellow,Where is the fish placed?,on a plate,How are the parsley sprigs arranged??,scattered
002ce3c1b2c003e,What is the flavor of the fish?,sweet,What type of seafood is in the dish?,fish,What color are the diced red peppers?,red,What is the base in which all the other elements are suspended?,in a sauce,What color are the pineapple chunks??,yellow
ae4dff568089934,What color is the fish?,pink,What type of food is the main dish in the image?,fish,Where are the seasonings and herbs located on the fish?,scattered across,What color are the tomato slices?,red,What vegetable is placed above the fish??,spinach
