,Image,Question,Answer
626,cb7d2715089d107,What type of fruit is featured in the preserves,figs
627,cb7d2715089d107,What color are the lemon slices in the image,yellow
628,cb7d2715089d107,What are the figs and lemon slices immersed in,with lemon slices
629,cb7d2715089d107,How do the whole figs appear in the image,plump
630,9ac99a11f201d7e,What color is the interior of the figs,dark
631,9ac99a11f201d7e,What type of fruit is shown in the image,figs
632,9ac99a11f201d7e,What color are the raspberries,red
633,9ac99a11f201d7e,What are the figs filled with,with almonds
634,9ac99a11f201d7e,What is revealed when the figs are cut in half,revealing
635,dd3b5e82f9d9936,What type of alcohol is mentioned in the description,bourbon
636,dd3b5e82f9d9936,What color is the Bourbon Fig Compote primarily,purple-black
637,dd3b5e82f9d9936,Where is the Bourbon Fig Compote placed in relation to the brie,piled on top
638,dd3b5e82f9d9936,What type of cheese is mentioned in the description,brie
639,dd3b5e82f9d9936,How is the brie prepared,baked
640,02fe95aa6346349,How is the pastry presented in the image,sliced
641,02fe95aa6346349,What color is the filling inside the pastry,brown
642,02fe95aa6346349,What type of food is shown in the image,pastry
643,02fe95aa6346349,Where is the fig filling located,inside the pastry crust
644,02fe95aa6346349,What color is the fig filling,dark
645,c3f9c24995ba4ec,What color is the filet mignon,brown
646,c3f9c24995ba4ec,What type of meat is in the center of the image,filet mignon
647,c3f9c24995ba4ec,Where is the filet mignon located,located in
648,c3f9c24995ba4ec,What color are the onions on top of the filet mignon,white
649,c3f9c24995ba4ec,How are the onions arranged around the filet mignon,scattered
650,5af605e71b6dc10,What color are the Filet Mignon pieces,reddish-brown
651,5af605e71b6dc10,What type of meat is shown in the image,Filet Mignon
652,5af605e71b6dc10,What color is the plate,white
653,5af605e71b6dc10,What is sprinkled on top of the creamy sauce,sprinkled
654,5af605e71b6dc10,Where are the Filet Mignon pieces placed,on the plate
665,22de7ebf1595111,What is the color of the filet mignon,rich
666,22de7ebf1595111,What type of meat is shown in the image,filet mignon
667,22de7ebf1595111,What color is the filet mignon,brown
668,22de7ebf1595111,Where is the filet mignon positioned on the plate,in the lower right
669,22de7ebf1595111,What is the filet mignon served on,plate
670,83d26cde246750e,What color is the filet mignon,reddish-brown
671,83d26cde246750e,What type of meat is featured on the plate,filet mignon
672,83d26cde246750e,What color are the green beans,green
673,83d26cde246750e,Where is the couscous positioned relative to the filet mignon,alongside
674,83d26cde246750e,What is the garlic cream sauce doing to the meat and shrimp,coating
675,4625bbbfbb8de74,What cooking method is used for the filet,grilling
676,4625bbbfbb8de74,What type of meat is shown in the image,filet
677,4625bbbfbb8de74,What color is the Merlot sauce,dark red
678,4625bbbfbb8de74,What color is the outside of the filet after grilling,brown
679,4625bbbfbb8de74,What herb is placed on top of the filet,rosemary
680,3e919d5c8a76fb2,What color is the interior of the sliced filet mignon,pinkish-red
681,3e919d5c8a76fb2,What type of food is the main subject of the image,meat
682,3e919d5c8a76fb2,What color is the pepper cream sauce,beige
683,3e919d5c8a76fb2,Where are the individual peppercorns located,scattered around
684,3e919d5c8a76fb2,What is scattered around the meat pieces,pepper
685,03f3669d98a7f47,What color is the top surface of the filet mignon,light brown
686,03f3669d98a7f47,What is the filet mignon made of,meat
687,03f3669d98a7f47,How are the darker brown seasonings described on the filet mignon,speckled
688,03f3669d98a7f47,Where is the filet mignon positioned on the plate,on the right side
689,03f3669d98a7f47,How are the items arranged on the plate,arranged
690,809aab9977443b9,What color is the Filet Mignon,brown
691,809aab9977443b9,What type of steak is shown in the image,Filet Mignon
692,809aab9977443b9,What color are the asparagus spears,green
693,809aab9977443b9,Where are the asparagus spears positioned relative to the Filet Mignon,behind
694,809aab9977443b9,How are the potatoes prepared,roasted
695,95f4b84d531b5cd,What color is the exterior of the filet mignon,brown
696,95f4b84d531b5cd,What type of meat is on the plate,filet mignon
697,95f4b84d531b5cd,What covers the top of the filet mignon,covers
698,95f4b84d531b5cd,What color are the mushrooms,red
699,95f4b84d531b5cd,On which side of the plate is the filet mignon,on the right side
700,bfd8bdd402cbe12,What color is the Lover's Beef Burgundy Filet,reddish-brown
701,bfd8bdd402cbe12,What type of meat is shown in the image,filet
702,bfd8bdd402cbe12,What is the sauce on top of the filet doing,covered
703,bfd8bdd402cbe12,Where are the green herbs located,on top
704,bfd8bdd402cbe12,What is on top of the filet,herbs
705,0e176ed65b79336,What color is the crust on top of the mock filet,brown
706,0e176ed65b79336,What type of meat is shown in the image,filet
707,0e176ed65b79336,What is the color of the crust on the mock filet,dark
708,0e176ed65b79336,What is the mock filet wrapped with,with
709,0e176ed65b79336,What color is the lighter colored substance wrapping the mock filet,pink
710,7a3f726289df719,What color is the ground meat in the filling,light brown
711,7a3f726289df719,What type of ingredient is the ground meat in the filling,meat
712,7a3f726289df719,How are the onions prepared in the filling,chopped
713,7a3f726289df719,How are the raisins distributed in the filling,scattered
714,7a3f726289df719,Where are the raisins located in the filling,across the surface
715,f4c7afcf3684169,What color is the pineapple filling,creamy
716,f4c7afcf3684169,What color are the small flecks in the filling,yellow
717,f4c7afcf3684169,How are the small flecks of orange arranged in the filling,flecks
718,f4c7afcf3684169,Where is the filling located within the jar,distributed
719,f4c7afcf3684169,What is the texture of the pineapple filling,in texture
720,196cca600a1000d,What color is the Hungarian Poppy Seed Filling,dark
721,196cca600a1000d,What is the Hungarian Poppy Seed Filling contained in,pot
722,196cca600a1000d,Where is the wooden spoon in relation to the filling,submerged
723,196cca600a1000d,What is the color of the Hungarian Poppy Seed Filling described as,brownish-black
724,196cca600a1000d,Where is the pot placed,on a patterned towel
725,f454c6fd2e216cf,What is the appearance of the sauerkraut filling,translucent
726,f454c6fd2e216cf,What is the main ingredient in the filling,sauerkraut
727,f454c6fd2e216cf,What color is the sauerkraut filling,yellowish-tan
728,f454c6fd2e216cf,Where are the dough pieces placed,across a marble surface
729,f454c6fd2e216cf,What are the circular pieces made of,dough
730,7dfc6314022bc13,What color is the almond filling in the cake,white
731,7dfc6314022bc13,What is the dessert in the image,cake
732,7dfc6314022bc13,Where is the almond filling located in the cake,sandwiched between
733,7dfc6314022bc13,What type of nut is used in the filling of the cake,almond
734,7dfc6314022bc13,What does the almond filling contribute to in the dessert,contributes
735,8c5d8e730c306a7,What color is the base of the cookies underneath the nut filling,brown
736,8c5d8e730c306a7,Where is the nut filling primarily located on the cookies,located on
737,8c5d8e730c306a7,How are the nuts arranged on the cookies,clustered
738,8c5d8e730c306a7,What gives the nut filling a glossy appearance,glaze
739,8c5d8e730c306a7,What is the color of the base of the cookies,off-white
740,5e08a59dbf234b5,What color is the bowl,white
741,5e08a59dbf234b5,How was the potato filling cooked,baked
742,5e08a59dbf234b5,What is the main ingredient in the filling,potato
743,5e08a59dbf234b5,What color are the small pieces scattered throughout the filling,yellow
744,5e08a59dbf234b5,Where is the potato filling located in the image,in a bowl
750,c681cb3595c0879,What type of fruit is used in the pie filling,apple
751,c681cb3595c0879,What color are the apple slices,yellow-green
752,c681cb3595c0879,What is the texture of the sauce,viscous
753,c681cb3595c0879,How are the apple slices arranged in the pie crust,arranged
754,c681cb3595c0879,Where is the filling situated in the image,in the middle of
755,0b1164dce90a210,What color is the raspberry filling,red
756,0b1164dce90a210,How is the raspberry filling applied to the stack,spreading
757,0b1164dce90a210,What color are the squares in the stack,golden-brown
758,0b1164dce90a210,What is the shape of the stack,stack
759,0b1164dce90a210,Where are the heart-shaped pieces placed,on top of
760,d85e534339dcdf4,What is the texture of the filling's surface,glossy
761,d85e534339dcdf4,Where does the filling sit,sits
762,d85e534339dcdf4,What is the dark brown layer beneath the filling,cake
763,d85e534339dcdf4,What color is the cake layer,brown
764,d85e534339dcdf4,Where is the filling located in relation to the cake,on top of
765,aeb4fa0db89dae5,What color is the exterior of the chicken fingers,golden-brown
766,aeb4fa0db89dae5,What type of meat is shown in the image,chicken
767,aeb4fa0db89dae5,What color is the interior of the chicken fingers,white
768,aeb4fa0db89dae5,Where are the chicken fingers placed,on a plate
769,aeb4fa0db89dae5,How are the chicken fingers distributed on the plate,scattered
770,ea25f18eb234310,What shape are the Halloumi cheese fingers,rectangular
771,ea25f18eb234310,What type of cheese is shown in the image,cheese
772,ea25f18eb234310,What color is the lemon wedge in the pan,yellow
773,ea25f18eb234310,What color are some of the fried Halloumi cheese fingers,golden-brown
774,ea25f18eb234310,Where is the lemon wedge placed in relation to the Halloumi cheese fingers,in a pan
775,8d99540801499b5,What color is the base layer of the dessert,brown
776,8d99540801499b5,What is the main flavor of the topping layer,peanut butter
777,8d99540801499b5,What part of the dessert is described as having an irregular pattern,fingers
778,8d99540801499b5,What is the appearance of the peanut butter topping,glossy
779,8d99540801499b5,Where are the peanut butter fingers placed,in a baking pan
780,8675b212d96994c,What is the theme of the food displayed on the plate,spooky
781,8675b212d96994c,What part of the body do the cookies resemble,fingers
782,8675b212d96994c,What color are the Spooky Witches' Fingers,yellow
783,8675b212d96994c,What color are the almonds on the cookies,reddish-brown
784,8675b212d96994c,Where are the Spooky Witches' Fingers placed,on the plate
790,316a25ac7214253,What color are the breaded chicken fingers,golden-brown
791,316a25ac7214253,What type of meat is shown in the image,chicken
792,316a25ac7214253,What color is the plate the chicken is served on,white
793,316a25ac7214253,How are the chicken fingers placed on the plate,arranged
794,316a25ac7214253,Where is the plate located in the image,on a plate
795,19110340eed274c,How would you describe the texture of the chicken fingers,crispy
796,19110340eed274c,What type of food is mostly orange with darker spots,chicken fingers
797,19110340eed274c,Are there any parts of the chicken fingers that look overcooked,burnt
798,19110340eed274c,How are the chicken fingers arranged on the plate,stacked
799,19110340eed274c,Where are the chicken fingers located on the plate,on the bottom right
800,14594564599eac5,What color are the chicken fingers,golden-brown
801,14594564599eac5,What type of meat is shown in the image,chicken
802,14594564599eac5,What color is the plate,white
803,14594564599eac5,Are the chicken fingers arranged in a way that some are on top of others,overlapping
804,14594564599eac5,Where are the chicken fingers placed,on a white plate
805,d511d70b656e110,What color are the Madeira Fingers,beige
806,d511d70b656e110,What is the shape of some of the Madeira Fingers,Fingers
807,d511d70b656e110,What is placed to the lower left of the Madeira Fingers,teacup
808,d511d70b656e110,Where are the Madeira Fingers placed,on a saucer
809,d511d70b656e110,How are some of the Madeira Fingers arranged,stacked
810,9f1ee5545a6d207,What color are the lady fingers,beige
811,9f1ee5545a6d207,What type of food is shown in the image,lady fingers
812,9f1ee5545a6d207,Where are the lady fingers placed,baking sheet
813,9f1ee5545a6d207,What is the texture of the lady fingers,rough
814,9f1ee5545a6d207,Where are the lady fingers arranged,on a baking sheet
815,fab3dce9bce0517,What color are the fish fillets,white
816,fab3dce9bce0517,What type of food is shown in the image,fish
817,fab3dce9bce0517,What color are the lemon wedges,yellow
818,fab3dce9bce0517,Where is the fish placed,on a plate
819,fab3dce9bce0517,How are the parsley sprigs arranged,scattered
820,002ce3c1b2c003e,What is the flavor of the fish,sweet
821,002ce3c1b2c003e,What type of seafood is in the dish,fish
822,002ce3c1b2c003e,What color are the diced red peppers,red
823,002ce3c1b2c003e,What is the base in which all the other elements are suspended,in a sauce
824,002ce3c1b2c003e,What color are the pineapple chunks,yellow
